Date : 2022-03-17 23:31:17
Directory : c:\xampp\htdocs\codei4
Total : 251 files,  30929 codes, 30244 comments, 8812 blanks, all 69985 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\codei4\system\libraries\Ftp.php                                       | PHP      |        284 |        286 |         98 |        668 |
| c:\xampp\htdocs\codei4\system\libraries\Image_lib.php                                 | PHP      |        935 |        660 |        248 |      1,843 |
| c:\xampp\htdocs\codei4\system\libraries\Javascript.php                                | PHP      |        271 |        482 |        104 |        857 |
| c:\xampp\htdocs\codei4\system\libraries\Javascript\Jquery.php                         | PHP      |        359 |        568 |        150 |      1,077 |
| c:\xampp\htdocs\codei4\system\libraries\Javascript\index.html                         | HTML     |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\codei4\system\libraries\Migration.php                                 | PHP      |        214 |        196 |         68 |        478 |
| c:\xampp\htdocs\codei4\system\libraries\Pagination.php                                | PHP      |        278 |        327 |        100 |        705 |
| c:\xampp\htdocs\codei4\system\libraries\Parser.php                                    | PHP      |         88 |        130 |         31 |        249 |
| c:\xampp\htdocs\codei4\system\libraries\Profiler.php                                  | PHP      |        325 |        169 |         81 |        575 |
| c:\xampp\htdocs\codei4\system\libraries\Session\Session.php                           | PHP      |        540 |        309 |        135 |        984 |
| c:\xampp\htdocs\codei4\system\libraries\Session\SessionHandlerInterface.php           | PHP      |         10 |         47 |          3 |         60 |
| c:\xampp\htdocs\codei4\system\libraries\Session\Session_driver.php                    | PHP      |         55 |        114 |         19 |        188 |
| c:\xampp\htdocs\codei4\system\libraries\Session\drivers\Session_database_driver.php   | PHP      |        222 |        163 |         61 |        446 |
| c:\xampp\htdocs\codei4\system\libraries\Session\drivers\Session_files_driver.php      | PHP      |        211 |        162 |         56 |        429 |
| c:\xampp\htdocs\codei4\system\libraries\Session\drivers\Session_memcached_driver.php  | PHP      |        190 |        157 |         51 |        398 |
| c:\xampp\htdocs\codei4\system\libraries\Session\drivers\Session_redis_driver.php      | PHP      |        221 |        184 |         55 |        460 |
| c:\xampp\htdocs\codei4\system\libraries\Session\drivers\index.html                    | HTML     |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\codei4\system\libraries\Session\index.html                            | HTML     |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\codei4\system\libraries\Table.php                                     | PHP      |        246 |        211 |         82 |        539 |
| c:\xampp\htdocs\codei4\system\libraries\Trackback.php                                 | PHP      |        259 |        218 |         80 |        557 |
| c:\xampp\htdocs\codei4\system\libraries\Typography.php                                | PHP      |        111 |        276 |         38 |        425 |
| c:\xampp\htdocs\codei4\system\libraries\Unit_test.php                                 | PHP      |        169 |        185 |         53 |        407 |
| c:\xampp\htdocs\codei4\system\libraries\Upload.php                                    | PHP      |        621 |        530 |        176 |      1,327 |
| c:\xampp\htdocs\codei4\system\libraries\User_agent.php                                | PHP      |        292 |        293 |         97 |        682 |
| c:\xampp\htdocs\codei4\system\libraries\Xmlrpc.php                                    | PHP      |        961 |        711 |        249 |      1,921 |
| c:\xampp\htdocs\codei4\system\libraries\Xmlrpcs.php                                   | PHP      |        335 |        185 |        100 |        620 |
| c:\xampp\htdocs\codei4\system\libraries\Zip.php                                       | PHP      |        249 |        221 |         63 |        533 |
| c:\xampp\htdocs\codei4\system\libraries\index.html                                    | HTML     |          9 |          0 |          3 |         12 |
| Total                                                                                 |          |     30,929 |     30,244 |      8,812 |     69,985 |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
