"filename", "language", "PHP", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\codei4\system\core\Input.php", "PHP", 431, 0, 0, 0, 352, 113, 896
"c:\xampp\htdocs\codei4\system\core\Lang.php", "PHP", 93, 0, 0, 0, 85, 26, 204
"c:\xampp\htdocs\codei4\system\core\Loader.php", "PHP", 724, 0, 0, 0, 507, 185, 1416
"c:\xampp\htdocs\codei4\system\core\Log.php", "PHP", 118, 0, 0, 0, 138, 41, 297
"c:\xampp\htdocs\codei4\system\core\Model.php", "PHP", 9, 0, 0, 0, 63, 5, 77
"c:\xampp\htdocs\codei4\system\core\Output.php", "PHP", 391, 0, 0, 0, 326, 126, 843
"c:\xampp\htdocs\codei4\system\core\Router.php", "PHP", 224, 0, 0, 0, 225, 67, 516
"c:\xampp\htdocs\codei4\system\core\Security.php", "PHP", 489, 0, 0, 0, 478, 125, 1092
"c:\xampp\htdocs\codei4\system\core\URI.php", "PHP", 269, 0, 0, 0, 294, 81, 644
"c:\xampp\htdocs\codei4\system\core\Utf8.php", "PHP", 57, 0, 0, 0, 93, 15, 165
"c:\xampp\htdocs\codei4\system\core\compat\hash.php", "PHP", 156, 0, 0, 0, 74, 25, 255
"c:\xampp\htdocs\codei4\system\core\compat\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\core\compat\mbstring.php", "PHP", 50, 0, 0, 0, 87, 13, 150
"c:\xampp\htdocs\codei4\system\core\compat\password.php", "PHP", 136, 0, 0, 0, 89, 27, 252
"c:\xampp\htdocs\codei4\system\core\compat\standard.php", "PHP", 102, 0, 0, 0, 65, 16, 183
"c:\xampp\htdocs\codei4\system\core\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\DB.php", "PHP", 117, 0, 0, 0, 80, 22, 219
"c:\xampp\htdocs\codei4\system\database\DB_cache.php", "PHP", 84, 0, 0, 0, 106, 32, 222
"c:\xampp\htdocs\codei4\system\database\DB_driver.php", "PHP", 872, 0, 0, 0, 844, 270, 1986
"c:\xampp\htdocs\codei4\system\database\DB_forge.php", "PHP", 542, 0, 0, 0, 347, 145, 1034
"c:\xampp\htdocs\codei4\system\database\DB_query_builder.php", "PHP", 1338, 0, 0, 0, 1076, 395, 2809
"c:\xampp\htdocs\codei4\system\database\DB_result.php", "PHP", 281, 0, 0, 0, 291, 94, 666
"c:\xampp\htdocs\codei4\system\database\DB_utility.php", "PHP", 216, 0, 0, 0, 152, 57, 425
"c:\xampp\htdocs\codei4\system\database\drivers\cubrid\cubrid_driver.php", "PHP", 156, 0, 0, 0, 193, 57, 406
"c:\xampp\htdocs\codei4\system\database\drivers\cubrid\cubrid_forge.php", "PHP", 103, 0, 0, 0, 103, 25, 231
"c:\xampp\htdocs\codei4\system\database\drivers\cubrid\cubrid_result.php", "PHP", 52, 0, 0, 0, 106, 20, 178
"c:\xampp\htdocs\codei4\system\database\drivers\cubrid\cubrid_utility.php", "PHP", 16, 0, 0, 0, 58, 6, 80
"c:\xampp\htdocs\codei4\system\database\drivers\cubrid\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\drivers\ibase\ibase_driver.php", "PHP", 150, 0, 0, 0, 211, 53, 414
"c:\xampp\htdocs\codei4\system\database\drivers\ibase\ibase_forge.php", "PHP", 105, 0, 0, 0, 118, 29, 252
"c:\xampp\htdocs\codei4\system\database\drivers\ibase\ibase_result.php", "PHP", 53, 0, 0, 0, 89, 20, 162
"c:\xampp\htdocs\codei4\system\database\drivers\ibase\ibase_utility.php", "PHP", 14, 0, 0, 0, 50, 6, 70
"c:\xampp\htdocs\codei4\system\database\drivers\ibase\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\drivers\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\drivers\mssql\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\drivers\mssql\mssql_driver.php", "PHP", 198, 0, 0, 0, 248, 73, 519
"c:\xampp\htdocs\codei4\system\database\drivers\mssql\mssql_forge.php", "PHP", 51, 0, 0, 0, 86, 15, 152
"c:\xampp\htdocs\codei4\system\database\drivers\mssql\mssql_result.php", "PHP", 67, 0, 0, 0, 108, 24, 199
"c:\xampp\htdocs\codei4\system\database\drivers\mssql\mssql_utility.php", "PHP", 10, 0, 0, 0, 62, 6, 78
"c:\xampp\htdocs\codei4\system\database\drivers\mysql\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\drivers\mysql\mysql_driver.php", "PHP", 191, 0, 0, 0, 233, 71, 495
"c:\xampp\htdocs\codei4\system\database\drivers\mysql\mysql_forge.php", "PHP", 118, 0, 0, 0, 96, 30, 244
"c:\xampp\htdocs\codei4\system\database\drivers\mysql\mysql_result.php", "PHP", 62, 0, 0, 0, 115, 23, 200
"c:\xampp\htdocs\codei4\system\database\drivers\mysql\mysql_utility.php", "PHP", 93, 0, 0, 0, 87, 32, 212
"c:\xampp\htdocs\codei4\system\database\drivers\mysqli\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\drivers\mysqli\mysqli_driver.php", "PHP", 237, 0, 0, 0, 237, 73, 547
"c:\xampp\htdocs\codei4\system\database\drivers\mysqli\mysqli_forge.php", "PHP", 118, 0, 0, 0, 98, 29, 245
"c:\xampp\htdocs\codei4\system\database\drivers\mysqli\mysqli_result.php", "PHP", 91, 0, 0, 0, 119, 23, 233
"c:\xampp\htdocs\codei4\system\database\drivers\mysqli\mysqli_utility.php", "PHP", 91, 0, 0, 0, 89, 32, 212
"c:\xampp\htdocs\codei4\system\database\drivers\oci8\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\drivers\oci8\oci8_driver.php", "PHP", 296, 0, 0, 0, 316, 90, 702
"c:\xampp\htdocs\codei4\system\database\drivers\oci8\oci8_forge.php", "PHP", 74, 0, 0, 0, 101, 20, 195
"c:\xampp\htdocs\codei4\system\database\drivers\oci8\oci8_result.php", "PHP", 82, 0, 0, 0, 118, 30, 230
"c:\xampp\htdocs\codei4\system\database\drivers\oci8\oci8_utility.php", "PHP", 9, 0, 0, 0, 55, 5, 69
"c:\xampp\htdocs\codei4\system\database\drivers\odbc\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\drivers\odbc\odbc_driver.php", "PHP", 159, 0, 0, 0, 209, 58, 426
